 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2562.875    75.1077      -126.2230    22.7330     384.8476     292.971      219.93804     2.3990       13.8910   
2563.000    72.8779      -126.1140    22.7210     368.6116     281.084      221.30805     2.3910       13.9480   
2563.125    70.5308      -125.8210    22.7090     353.6808     271.869      222.63100     2.3790       14.1880   
2563.250    69.9440      -125.3630    22.7330     343.6053     266.135      223.83105     2.3780       14.3140   
2563.375    70.8829      -124.7800    22.7210     333.7578     260.104      224.66106     2.3690       14.3450   
2563.500    72.2912      -124.1190    22.6620     326.0366     254.920      225.00002     2.3730       14.3840   
2563.625    73.5821      -123.4210    22.5800     315.9990     247.971      224.66208     2.3740       14.3080   
2563.750    73.5821      -122.7200    22.5680     305.0256     240.690      223.73800     2.3760       14.0630   
2563.875    73.8168      -122.0400    22.6390     291.5451     232.683      222.69209     2.3820       14.0080   
2564.000    73.8168      -121.3790    22.7330     283.5791     229.414      221.96900     2.3870       13.9560   
2564.125    73.4647      -120.7270    22.8860     283.9186     233.188      221.47705     2.3890       13.8910   
2564.250    72.8779      -120.0690    23.0980     295.2995     244.125      221.16901     2.3910       14.0900   
2564.375    72.0564      -119.3640    23.3330     317.7760     262.599      221.00009     2.3810       14.2300   
2564.500    72.6432      -118.5770    23.5800     337.2862     277.935      220.84602     2.3680       14.2460   
2564.625    73.1126      -117.6600    23.5680     352.9475     289.902      220.56904     2.3540       14.2930   
2564.750    73.1126      -116.6020    23.4150     358.4296     293.615      220.29208     2.3500       14.2680   
2564.875    72.9953      -115.3990    23.1680     355.3762     290.355      220.27700     2.3560       14.0620   
2565.000    71.7044      -114.0690    23.0980     346.2797     282.572      220.72302     2.3670       13.9170   
2565.125    70.7655      -112.6280    23.0980     332.8689     271.206      221.35405     2.3770       13.8250   
2565.250    70.6482      -111.1060    23.0980     323.4769     262.527      221.75406     2.3890       13.7940   
2565.375    71.0002      -109.5010    23.0980     322.4393     259.263      221.64605     2.3830       13.8030   
2565.500    72.7606      -107.7820    23.1210     335.1507     266.551      220.80001     2.3830       13.7620   
2565.625    75.4598      -105.9250    23.1210     375.1333     288.635      219.04602     2.3840       13.5710   
2565.750    78.7457      -103.9030    23.1090     437.8034     317.335      216.53803     2.3900       13.2730   
2565.875    81.4449      -101.7310    23.1210     503.0479     348.115      214.00003     2.3860       12.8080   
2566.000    83.3226      -99.4330     23.1450     492.6674     355.919      212.40004     2.3710       12.7630   
2566.125    84.3788      -97.0560     23.2270     389.8466     322.784      212.69206     2.3460       13.2450   
2566.250    89.1904      -94.6370     23.2030     266.3499     248.000      215.12301     2.2850       15.7190   
2566.375    96.5838      -92.2470     23.3090     135.9258     135.593      219.78507     2.1770       20.7540   
2566.500    113.0136     -89.9620     23.5210     64.0545      65.0888      226.3380      2.0310       26.4970   
